,name,nullable,type,comment
0,date,True,DATE,Date
1,batch,True,VARCHAR(3),Batch
2,ticker,True,VARCHAR(25),Ticker
3,shortname,True,VARCHAR(100),Short Name
4,redcode,True,VARCHAR(6),Red Code
5,sector,True,VARCHAR(30),Sector
6,region,True,VARCHAR(20),Region
7,country,True,VARCHAR(50),Country
8,avrating,True,VARCHAR(4),Average Rating
9,impliedrating,True,VARCHAR(4),Implied Rating
10,tier,True,VARCHAR(10),Tier
11,currency,True,VARCHAR(3),Currency
12,docclause,True,VARCHAR(4),Documentation Clause
13,primarycurve,True,VARCHAR(1),Primary Curve
14,primarypricetype,True,VARCHAR(20),Primary Price Type
15,runningcoupon,True,DOUBLE PRECISION,Running Coupon
16,primarycoupon,True,VARCHAR(1),Primary Coupon
17,tenor,True,VARCHAR(3),Tenor
18,parspread,True,DOUBLE PRECISION,Par Spread
19,convspreard,True,DOUBLE PRECISION,
20,upfront,True,DOUBLE PRECISION,Upfront
21,cdsrealrecovery,True,DOUBLE PRECISION,CDS Real Recovery
22,cdsassumedrecovery,True,DOUBLE PRECISION,CDS Assumed Recovery
23,carriedforward,True,DOUBLE PRECISION,Carried Forward
24,compositedepth5y,True,DOUBLE PRECISION,Composite Depth 5 Year
25,primarydepthcontributed,True,DOUBLE PRECISION,Primary Depth Contributed
26,primarydepthpassed,True,DOUBLE PRECISION,Primary Depth Passed
27,primarydepthpassed1wma,True,DOUBLE PRECISION,Primary Depth Passed 1 Week Moving Average
28,primarydepthpassed1mma,True,DOUBLE PRECISION,Primary Depth Passed 1 Month Moving Average
29,primarydepthpassed2mma,True,DOUBLE PRECISION,Primary Depth Passed 2 Month Moving Average
30,compositepricerating,True,VARCHAR(5),Composite Price Rating
31,compositecurverating,True,VARCHAR(5),Composite Curve Rating
32,hasclearsubmissions,True,VARCHAR(1),Has Clear Submissions
33,hasquotes,True,VARCHAR(1),Has Quotes
34,hasbankcontributions,True,VARCHAR(1),Has Bank Contributions
35,clearingsubmissionsdepthcontr,True,DOUBLE PRECISION,Clearing Submissions Depth Contributions
36,quotesdepthcontr,True,DOUBLE PRECISION,Quotes Depth Contributions
37,bankcontributionsdepthcontr,True,DOUBLE PRECISION,Bank Contributions Depth Contributions
38,clearingsubmissionsdepthpassed,True,DOUBLE PRECISION,Clearing Submissions Depth Passed
39,quotesdepthpassed,True,DOUBLE PRECISION,Quotes Depth Passed
40,bankcontributionsdepthpassed,True,DOUBLE PRECISION,Bank Contributions Depth Passed
41,dailyupdatefrequency,True,DOUBLE PRECISION,Daily Update Frequency
42,maxdailymovement,True,DOUBLE PRECISION,Max Daily Movement
43,_52wkhigh5y,True,DOUBLE PRECISION,52 Week High
44,_52wklow5y,True,DOUBLE PRECISION,52 Week Low
45,contrstddevpassedrecovery,True,DOUBLE PRECISION,Contributions Standard Deviation Passed Recovery
46,contrlqrangepassed,True,DOUBLE PRECISION,
47,contrlqrangepassedrecovery,True,DOUBLE PRECISION,
48,contr10thpctlpassed,True,DOUBLE PRECISION,Contributions 10th Percentile Passed
49,contr10pctlpassedrecovery,True,DOUBLE PRECISION,Contributions 10th Percentile Passed Recovery
50,contr90thpctlpassed,True,DOUBLE PRECISION,Contributions 90th Percentile Passed Recovery
51,contr90thpctlpassedrecovery,True,DOUBLE PRECISION,Contributions 90th Percentile Passed Recovery
52,contrmaxminrangepassed,True,DOUBLE PRECISION,Contributions Max Min Range Passed
53,contrmaxminrangepassedrecovery,True,DOUBLE PRECISION,Contributions Max Min Range Passed
54,tierbasis,True,DOUBLE PRECISION,Tier Basis
55,isdabasis,True,DOUBLE PRECISION,ISDA Basis
56,ccybasis,True,DOUBLE PRECISION,Currency Basis
57,docclausebasis,True,DOUBLE PRECISION,Documentation Clause Basis
58,tierbasiscarriedforward,True,DOUBLE PRECISION,Tier Basis Carried Forward
59,tierbasisdepthpassed,True,DOUBLE PRECISION,Tier Basis Depth Passed
60,tierbasisstddevpassed,True,DOUBLE PRECISION,Tier Basis Standard Deviation Passed
61,tierbasis10thpctlpassed,True,DOUBLE PRECISION,Tier Basis 10th Percentile Passed
62,tierbasis90thpctlpassed,True,DOUBLE PRECISION,Tier Basis 90th Percentile Passed
63,isdabasiscarriedforward,True,DOUBLE PRECISION,ISDA Basis Carried Forward
64,isdabasisdepthpassed,True,DOUBLE PRECISION,ISDA Basis Depth Passed
65,isdabasisstddevpassed,True,DOUBLE PRECISION,ISDA Basis Standard Deviation Passed
66,isdabasis10thpctlpassed,True,DOUBLE PRECISION,ISDA Basis 10th Percentile Passed
67,isdabasis90thpctlpassed,True,DOUBLE PRECISION,ISDA Basis 90th Percentile Passed
68,ccybasiscarriedforward,True,DOUBLE PRECISION,Currency Basis Carried Forward
69,ccybasisdepthpassed,True,DOUBLE PRECISION,Currency Basis Depth Passed
70,ccybasisstddevpassed,True,DOUBLE PRECISION,Currency Basis Standard Deviation Passed
71,ccybasis10thpctlpassed,True,DOUBLE PRECISION,Currency Basis 10th Percentile Passed
72,ccybasis90thpctlpassed,True,DOUBLE PRECISION,Currency Basis 90th Percentile Passed
73,docclausebasiscarriedforward,True,DOUBLE PRECISION,Documentation Clause Basis Carried Forward
74,docclausebasisdepthpassed,True,DOUBLE PRECISION,Documentation Clause Basis Depth Passed
75,docclausebasisstddevpassed,True,DOUBLE PRECISION,Documentation Clause Basis Standard Deviation Passed
76,docclausebasis10thpctlpassed,True,DOUBLE PRECISION,Documentation Clause Basis 10th Percentile Passed
77,docclausebasis90thpctlpassed,True,DOUBLE PRECISION,Documentation Clause Basis 90th Percentile Passed
78,tenorbasisdepthpassed,True,DOUBLE PRECISION,Tenor Basis Depth Passed
79,tenorbasisstddevpassed,True,DOUBLE PRECISION,Tenor Basis Standard Deviation Passed
80,tenorbasis10thpctlpassed,True,DOUBLE PRECISION,Tenor Basis 10th Percentile Passed
81,tenorbasis90thpctlpassed,True,DOUBLE PRECISION,Tenor Basis 90th Percentile Passed
82,idxmember,True,VARCHAR(10),Index Member
83,dealersclearingcountcruve,True,DOUBLE PRECISION,
84,dealersclearingcountcurve1wma,True,DOUBLE PRECISION,Dealers Clearing Count Curve 1 Week Moving Average
85,dealersclearingcountcurve1mma,True,DOUBLE PRECISION,Dealers Clearing Count Curve 1 Month Moving Average
86,dealersclearingcountcurve2mma,True,DOUBLE PRECISION,Dealers Clearing Count Curve 2 Month Moving Average
87,dealersquotescountcurve,True,DOUBLE PRECISION,Dealers Quotes Count Curve
88,dealersquotescountcurve1wma,True,DOUBLE PRECISION,Dealers Quotes Count Curve 1 Week Moving Average
89,dealersquotescountcurve1mma,True,DOUBLE PRECISION,Dealers Quotes Count Curve 1 Month Moving Average
90,dealersquotescountcurve2mma,True,DOUBLE PRECISION,Dealers Quotes Count Curve 2 Month Moving Average
91,quotescountcurve,True,DOUBLE PRECISION,Quotes Count Curve
92,quotescountcurve1wma,True,DOUBLE PRECISION,Quotes Count Curve 1 Week Moving Average
93,quotescountcurve1mma,True,DOUBLE PRECISION,Quotes Count Curve 1 Month Moving Average
94,quotescountcurve2mma,True,DOUBLE PRECISION,Quotes Count Curve 2 Month Moving Average
95,dealersquotescounttenor,True,DOUBLE PRECISION,Dealers Quotes Count Tenor
96,dealersquotescounttenor1wma,True,DOUBLE PRECISION,Dealers Quotes Count Tenor 1 Week Moving Average
97,dealersquotescounttenor1mma,True,DOUBLE PRECISION,Dealers Quotes Count Tenor 1 Month Moving Average
98,dealersquotescounttenor2mma,True,DOUBLE PRECISION,Dealers Quotes Count Tenor 2 Month Moving Average
99,quotescounttenor,True,DOUBLE PRECISION,Quotes Count Tenor
100,quotescounttenor1wma,True,DOUBLE PRECISION,Quotes Count Tenor 1 Week Moving Average
101,quotescounttenor1mma,True,DOUBLE PRECISION,Quotes Count Tenor 1 Month Moving Average
102,quotescounttenor2mma,True,DOUBLE PRECISION,Quotes Count Tenor 2 Month Moving Average
103,dealersborcountcurve,True,DOUBLE PRECISION,Dealers Books of Record Count Curve
104,dealersborcountcurve1wma,True,DOUBLE PRECISION,Dealers Books of Record Count Curve 1 Week Moving Average
105,dealersborcountcurve1mma,True,DOUBLE PRECISION,Dealers Books of Record Count Curve 1 Month Moving Average
106,dealersborcountcurve2mma,True,DOUBLE PRECISION,Dealers Books of Record Count Curve 2 Month Moving Average
107,upfrontbaspreadaverage,True,DOUBLE PRECISION,Upfront Bid-ask Spread Average
108,upfrontbaspreadaverage1wma,True,DOUBLE PRECISION,Upfront Bid-ask Spread Average 1 Week Moving Average
109,upfrontbaspreadaverage1mma,True,DOUBLE PRECISION,Upfront Bid-ask Spread Average 1 Month Moving Average
110,upfrontbaspreadaverage2mma,True,DOUBLE PRECISION,Upfront Bid-ask Spread Average 2 Month Moving Average
111,upfrontbaspreadhigh,True,DOUBLE PRECISION,Upfront Bid-ask Spread High
112,upfrontbaspreadhigh1wma,True,DOUBLE PRECISION,Upfront Bid-ask Spread High 1 Week Moving Average
113,upfrontbaspreadhigh1mma,True,DOUBLE PRECISION,Upfront Bid-ask Spread High 1 Month Moving Average
114,upfrontbaspreadhigh2mma,True,DOUBLE PRECISION,Upfront Bid-ask Spread High 2 Month Moving Average
115,convbaspreadaverage,True,DOUBLE PRECISION,Conventional Bid-ask Spread Average
116,convbaspreadaverage1wma,True,DOUBLE PRECISION,Conventional Bid-ask Spread Average 1 Week Moving Average
117,convbaspreadaverage1mma,True,DOUBLE PRECISION,Conventional Bid-ask Spread Average 1 Month Moving Average
118,convbaspreadaverage2mma,True,DOUBLE PRECISION,Conventional Bid-ask Spread Average 2 Month Moving Average
119,convbaspreadhigh,True,DOUBLE PRECISION,Conventional Bid-ask Spread High
120,convbaspreadhigh1wma,True,DOUBLE PRECISION,Conventional Bid-ask Spread High 1 Week Moving Average
121,convbaspreadhigh1mma,True,DOUBLE PRECISION,Conventional Bid-ask Spread High 1 Month Moving Average
122,convbaspreadhigh2mma,True,DOUBLE PRECISION,Conventional Bid-ask Spread High 2 Month Moving Average
123,bidasktype5y,True,VARCHAR(10),Bid-ask Type
124,baspreaddepthpassed,True,DOUBLE PRECISION,Bid-ask Spread Depth Passed
125,upfrontbaspreadstddevpassed,True,DOUBLE PRECISION,Upfront Bid-ask Spread Standard Deviation Passed
126,upfrontbaspread10thpctlpassed,True,DOUBLE PRECISION,Upfront Bid-ask Spread 10th Percentile Passed
127,upfrontbaspread90thpctlpassed,True,DOUBLE PRECISION,Upfront Bid-ask Spread 90th Percentile Passed
128,convbaspreadstddevpassed,True,DOUBLE PRECISION,Conventional Bid-ask Spread Standard Deviation Passed
129,convbaspread10thpctlpassed,True,DOUBLE PRECISION,Conventional Bid-ask Spread 10th Percentile Passed
130,convbaspread90thpctlpassed,True,DOUBLE PRECISION,Conventional Bid-ask Spread 90th Percentile Passed
131,estimatednotional,True,DOUBLE PRECISION,Estimated Notional
132,curveliquidityscore,True,DOUBLE PRECISION,Curve Liquidity Score
133,curveliquidityscore1wma,True,DOUBLE PRECISION,Curve Liquidity Score 1 Week Moving Average
134,curveliquidityscore1mma,True,DOUBLE PRECISION,Curve Liquidity Score 1 Month Moving Average
135,curveliquidityscore2mma,True,DOUBLE PRECISION,Curve Liquidity Score 2 Month Moving Average
136,sec4lastupdate,True,DATE,Section 4 Last Update
137,wklygnsec4,True,DOUBLE PRECISION,Weekly Gross Notional Section 4
138,wklygnsec41mma,True,DOUBLE PRECISION,Weekly Gross Notional Section 4 1 Month Moving Average
139,wklygnsec42mma,True,DOUBLE PRECISION,Weekly Gross Notional Section 4 2 Month Moving Average
140,wklycontrctsec4,True,DOUBLE PRECISION,Weekly Contracts Section 4
141,wklycontrctsec41mma,True,DOUBLE PRECISION,Weekly Contracts Section 4 1 Month Moving Average
142,wklycontrctsec42mma,True,DOUBLE PRECISION,Weekly Contracts Section 4 2 Month Moving Average
143,gnxtrd,True,DOUBLE PRECISION,Gross Notional Divided by Contracts
144,gnxtrd1mma,True,DOUBLE PRECISION,Gross Notional Divided by Contracts 1 Month Moving Average
145,gnxtrd2mma,True,DOUBLE PRECISION,Gross Notional Divided by Contracts 2 Month Moving Average
146,tbl6lastupdate,True,DATE,Table 6 Last Update
147,wklygrossnotional,True,DOUBLE PRECISION,Weekly Gross Notional
148,wklygrossnotional1m,True,DOUBLE PRECISION,Weekly Gross Notional 1 Month
149,wklygrossnotional1y,True,DOUBLE PRECISION,Weekly Gross Notional 1 Year
150,wklynetnotional,True,DOUBLE PRECISION,Weekly Net Notional
151,wklynetnotional1m,True,DOUBLE PRECISION,Weekly Net Notional 1 Month
152,wklynetnotional1y,True,DOUBLE PRECISION,Weekly Net Notional 1 Year
153,wklycontr,True,DOUBLE PRECISION,Weekly Contracts
154,wklycontr1m,True,DOUBLE PRECISION,Weekly Contracts 1 Month
155,wklycontr1y,True,DOUBLE PRECISION,Weekly Contracts 1 Year
156,creditdv01,True,DOUBLE PRECISION,Values that Match the Contributed Level
157,riskypv01,True,DOUBLE PRECISION,Risky Annuity
158,irdv01,True,DOUBLE PRECISION,Change in Mark to Market from Basis Point in Interest Rate
159,rec01,True,DOUBLE PRECISION,Change in Mark to Market from Basis Point in Recovery Rate
160,dp,True,DOUBLE PRECISION,Default Probability
161,jtd,True,DOUBLE PRECISION,Jump to Default
162,dtz,True,DOUBLE PRECISION,Jump to Zero
